question,contexts,answer,ground_truth
When was the University of Aberdeen established?,"^ ""New Rector carried aloft to begin new role"". The University of Aberdeen.
^ ""The Varsity Spirit: Student Show in the '20s and '30s"". The University of Aberdeen.
^ Rait, Robert (1912). Life in the Medieval University. Forgotten Books. p. 123.
^ ""Marischal College Guide"" (PDF). The University of Aberdeen.
^ Broun, Macolm (1995). ""George Wishart: a Torch of the Reformation in Scotland"". Journal of the Sydney Society for Scottish History. 3.
^ ""The Quatercentenary celebrations, 1906"". University of Aberdeen.
^ Ray, Martin. ""Thomas Hardy in Aberdeen"".
^ ""The Sir Duncan Rice Library"". University of Aberdeen. Retrieved 12 July 2014.
^ a b ""Queen opens new library at Aberdeen University"". BBC News. 24 September 2012. Retrieved 20 December 2012.
^ Grove, Jack (18 February 2020). ""Aberdeen told to repay £119K over ex-head's 'gardening leave'"". Times Higher Education (THE). Retrieved 24 February 2020.
^ McLaren, C.A. Aberdeen Students 1600–1860 (AUP)
^ Hargreaves, J.D. and Forbes, Angela Aberdeen University 1945–1981: Regional Roles and National Needs (AUP)
^ Bulloch, James (1895). A history of the University of Aberdeen. London : Hodder and Stoughton. p. 202.
^ 
""125th anniversary of Aberdeen Torcher Parade"". University of Aberdeen. Retrieved 4 November 2015.
^ ""Giving to Aberdeen"". University of Aberdeen. Retrieved 3 September 2011.
^ Jones, RV (1973). ""James Clerk Maxwell at Aberdeen"". Notes and Records of the Royal Society of London. 28: 64. JSTOR 531113.
^ ""Aberdeen celebrates the 150th anniversary of Advancement of Science in the Granite City"". The University of Aberdeen.
^ MacDonald, DC (1997). Birthright in Land: Ogilvie. Palala Press.
^ Bulloch, John (1895). A history of the University of Aberdeen. London : Hodder and Stoughton. p. 198.",,1495
"Who founded King's College, and what was their role in Scotland?","^ a b c ""Where do HE students study? | HESA"". hesa.ac.uk.
^ a b Bulloch, John Malcolm (1895). A History of the University of Aberdeen: 1495–1895. London: Hodder and Stoughton. pp. 18–19. Retrieved 20 December 2012.
^ ""Medicine – University of Aberdeen"". Times Higher Education (THE). Retrieved 12 July 2018.
^ a b ""Fast Facts"". University of Aberdeen. Retrieved 27 June 2014.
^ Gregory, William (1845). The New Statistical Account of Scotland (1845).
^ ""This Noble College: Building on the European tradition"". University of Aberdeen. Archived from the original on 8 May 2013. Retrieved 20 November 2010.
^ a b ""The New Statistical Account of Scotland – Account of the University and King's College of Aberdeen"". Electricscotland.com. Retrieved 20 November 2010.
^ ""Founders' Day Service"". Public Relations, University of Aberdeen, pubrel@abdn.ac.uk. 9 November 2004. Retrieved 20 November 2010.
^ ""New Rector carried aloft to begin new role"". The University of Aberdeen.
^ ""The Varsity Spirit: Student Show in the '20s and '30s"". The University of Aberdeen.
^ Rait, Robert (1912). Life in the Medieval University. Forgotten Books. p. 123.
^ ""Marischal College Guide"" (PDF). The University of Aberdeen.
^ Broun, Macolm (1995). ""George Wishart: a Torch of the Reformation in Scotland"". Journal of the Sydney Society for Scottish History. 3.
^ Lorimer, Peter (1923). The Scottish Reformation: A Historical Sketch. p. 91.
^ ""Thomas Reid"". Stanford Encyclopedia of Philosophy. Retrieved 1 January 2022.
^ Robertson, Kirsten (23 November 2018). ""Alistair Darling offers wise words to Aberdeen University graduates"". Aberdeen press and Journal. Retrieved 1 January 2022.
^ Hebdich, Jon (15 May 2018). ""Memories of Dame Tessa Jowell's education in Aberdeen flood in"". Aberdeen Press and Journal. Retrieved 1 January 2022.",,"William Elphinstone, Bishop of Aberdeen and Chancellor of Scotland"
Name two colleges that merged to form the modern University of Aberdeen.,"Following the Scottish Reformation in 1560, King's College was purged of its Roman Catholic staff but in other respects was largely resistant to change. George Keith, the fifth earl marischal, was a moderniser within the college and supportive of the reforming ideas of Peter Ramus and Andrew Melville.[10] In April 1593 he founded a second university in the 'New Town', Marischal College. It is also possible the founding of another college in nearby Fraserburgh by Sir Alexander Fraser, a business rival of Keith, was instrumental in its creation. Aberdeen was highly unusual at this time for having two universities in one city: as 20th-century university prospectuses observed, Aberdeen had the same number as existed in England at the time (the University of Oxford and University of Cambridge).
^ ""New Rector carried aloft to begin new role"". The University of Aberdeen.
^ ""The Varsity Spirit: Student Show in the '20s and '30s"". The University of Aberdeen.
^ Rait, Robert (1912). Life in the Medieval University. Forgotten Books. p. 123.
^ ""Marischal College Guide"" (PDF). The University of Aberdeen.
^ Broun, Macolm (1995). ""George Wishart: a Torch of the Reformation in Scotland"". Journal of the Sydney Society for Scottish History. 3.
^ ""The Quatercentenary celebrations, 1906"". University of Aberdeen.
^ Ray, Martin. ""Thomas Hardy in Aberdeen"".
^ ""The Sir Duncan Rice Library"". University of Aberdeen. Retrieved 12 July 2014.
^ a b ""Queen opens new library at Aberdeen University"". BBC News. 24 September 2012. Retrieved 20 December 2012.
^ Grove, Jack (18 February 2020). ""Aberdeen told to repay £119K over ex-head's 'gardening leave'"". Times Higher Education (THE). Retrieved 24 February 2020.
^ ""Appendix B: Overview of Main Campus Sites – Foresterhill"". Estates Strategy 2013–2023 (PDF). University of Aberdeen. 2007. p. 36.
^ ""AFG College with the University of Aberdee"". University of Aberdeen. Retrieved 21 December 2020.
^ ""Marischal College"". University of Aberdeen. Retrieved 21 December 2020.
^ ""University seeks ""TC"" former students and staff for Hilton closing events"". University of Aberdeen. 10 June 2005. Retrieved 20 November 2010.",,King's College and Marischal College
"What motto does the University of Aberdeen adopt, and what is its English translation?","^ ""New Rector carried aloft to begin new role"". The University of Aberdeen.
^ ""The Varsity Spirit: Student Show in the '20s and '30s"". The University of Aberdeen.
^ Rait, Robert (1912). Life in the Medieval University. Forgotten Books. p. 123.
^ ""Marischal College Guide"" (PDF). The University of Aberdeen.
^ Broun, Macolm (1995). ""George Wishart: a Torch of the Reformation in Scotland"". Journal of the Sydney Society for Scottish History. 3.
Motto[edit]
The motto of the University of Aberdeen is Initium Sapientiae Timor Domini, which translates from Latin as ""The beginning of wisdom is fear of the Lord"". It is a quote from the Old Testament of the Bible, Psalm 111, verse 10. It also appears in the Book of Proverbs (9:10). The motto can be seen at the archway beside New King's on the High Street at the King's College campus, as well as other campus locations and in formal settings such as on graduation certificates.
Tartan[edit]
^ ""The Quatercentenary celebrations, 1906"". University of Aberdeen.
^ Ray, Martin. ""Thomas Hardy in Aberdeen"".
^ ""The Sir Duncan Rice Library"". University of Aberdeen. Retrieved 12 July 2014.
^ a b ""Queen opens new library at Aberdeen University"". BBC News. 24 September 2012. Retrieved 20 December 2012.
^ Grove, Jack (18 February 2020). ""Aberdeen told to repay £119K over ex-head's 'gardening leave'"". Times Higher Education (THE). Retrieved 24 February 2020.
^ ""Aberdeen Student Radio"". University of Aberdeen. Archived from the original on 21 September 2013. Retrieved 19 September 2013.
^ Veatch, Robert (2005). Disrupted Dialogue: Medical Ethics and the Collapse of Physician-Humanist Communication. Oxford University Press. p. 32.
^ Deblamothe, T (1994). ""The Hippocratic Oath"". British Medical Journal. 309: 953.
^ ""New Rector carried aloft to begin new role"". The University of Aberdeen.",,Initium sapientiae timor domini; The fear of the Lord is the beginning of wisdom
Describe the significance of the Crown Tower at King's College campus.,"The historic King's College buildings form a quadrangle with an interior court, two sides of which have been rebuilt and expanded with a library wing in the 19th century. The Crown Tower and the chapel, the oldest parts, date from around 1500. The original foundation contained the chapel, the Great Hall and living accommodation, with its own kitchen and brewery, a well in the quadrangle, and a college garden to provide herbs and vegetables. The Grammar School was just outside the walls, in front of the college. The Crown Tower is surmounted by a structure about 40 ft (12 m) high, consisting of a six-sided lantern and Imperial crown, both sculptured, and resting on the intersections of two arched ornamental slips rising from the four corners of the top of the tower. This crown, also known as the ""Crown of Kings"", frequently acts as a symbol of the university. The choir of the chapel contains original oak-canopied stalls, miserere seats, and lofty open screens in the French flamboyant style. They were preserved by the college's Principal during the Reformation, who fought off local barons who had attacked the nearby St Machar's Cathedral. The Cromwell Tower, created between 1658 and 1662 opposite the Crown Tower, was originally built as residential accommodation, but an observatory was built on top in 1826.[36] The library wing was converted into an exhibition and conference venue in the 1990s and today also houses the university's Business School.
This archway, designed by AM Mackenzie, leading to the forecourt of the New King's Building at King's College portrays, from top to bottom, the coat of arms of Scotland, the coat of arms of Bishop Elphinstone, and the university's coat of arms. It is also engraved with the university's Latin motto, Initium Sapientiae Timor Domini.
Coat of arms[edit]
The first of the modern age of construction in the King's campus began with the construction in 1913 of the New Building (now known as ""New King's""), largely in a similar architectural style to the old buildings. A large manse located on the lawn opposite King's College was removed before the First World War.[37] New King's groups to form a yet larger quadrangle-like green for the campus also bordered by the High Street, King's and Elphinstone Hall, a traditional 1930 replacement for the Great Hall. The Elphinstone Hall was subsequently used as a dining facility but is now used for graduations, examinations, fairs, and other large university events.The Powis Gateway on College BoundsHowever, most students and staff spend relatively little time in these historic buildings, with a large number of modern ones housing most facilities and academic departments. Most date from the second half of the 20th century. Some of these echo the existing architecture of Old Aberdeen, such as the Fraser Noble Building with its distinctive concrete crown designed to resemble the one adorning King's College. Other buildings were constructed of stone in the 1950s (e.g. the Taylor Building and Meston Building). A number of other buildings are designed in the brutalist style, such as the Arts Lecture Theatre and adjoining William Guild Building, opened in 1969 to house the School of Psychology. Also on the site is the Cruickshank Botanic Garden which was presented to the university in 1899 and is open to the public.
Men count for the stability of the time’In the 20th century, the university expanded greatly, particularly at King's College. New buildings were constructed on the land around King's College throughout the 20th century. Initially, these were built to match the ancient buildings (e.g. the New King's lecture rooms and Elphinstone Hall), but later ones from the 1960s onward were constructed in brutalist style. Meanwhile, the Foresterhill campus began to train medical students in the 1930s next to Aberdeen Royal Infirmary.Façade of the Sir Duncan Rice Library in Old Aberdeen",,"The Crown Tower is an iconic symbol of the university, representing its history and academic excellence"
"Based on its founding principles, how has the University of Aberdeen contributed to the Scottish Enlightenment?","^ Jones, RV (1973). ""James Clerk Maxwell at Aberdeen"". Notes and Records of the Royal Society of London. 28: 64. JSTOR 531113.
^ ""Aberdeen celebrates the 150th anniversary of Advancement of Science in the Granite City"". The University of Aberdeen.
^ MacDonald, DC (1997). Birthright in Land: Ogilvie. Palala Press.
^ Bulloch, John (1895). A history of the University of Aberdeen. London : Hodder and Stoughton. p. 198.
^ ""New Rector carried aloft to begin new role"". The University of Aberdeen.
^ ""The Varsity Spirit: Student Show in the '20s and '30s"". The University of Aberdeen.
^ Rait, Robert (1912). Life in the Medieval University. Forgotten Books. p. 123.
^ ""Marischal College Guide"" (PDF). The University of Aberdeen.
^ Broun, Macolm (1995). ""George Wishart: a Torch of the Reformation in Scotland"". Journal of the Sydney Society for Scottish History. 3.
^ ""This Noble College: Building on the European tradition"". University of Aberdeen. Archived from the original on 8 May 2013. Retrieved 20 November 2010.
^ a b ""The New Statistical Account of Scotland – Account of the University and King's College of Aberdeen"". Electricscotland.com. Retrieved 20 November 2010.
^ ""Founders' Day Service"". Public Relations, University of Aberdeen, pubrel@abdn.ac.uk. 9 November 2004. Retrieved 20 November 2010.
^ McLaren, C.A. Aberdeen Students 1600–1860 (AUP)
^ Hargreaves, J.D. and Forbes, Angela Aberdeen University 1945–1981: Regional Roles and National Needs (AUP)
^ Bulloch, James (1895). A history of the University of Aberdeen. London : Hodder and Stoughton. p. 202.
^ 
""125th anniversary of Aberdeen Torcher Parade"". University of Aberdeen. Retrieved 4 November 2015.
^ ""Giving to Aberdeen"". University of Aberdeen. Retrieved 3 September 2011.",,"The university contributed to intellectual development, innovation, and the promotion of enlightenment thought"
How does the university's coat of arms reflect its history and founding colleges?,"This archway, designed by AM Mackenzie, leading to the forecourt of the New King's Building at King's College portrays, from top to bottom, the coat of arms of Scotland, the coat of arms of Bishop Elphinstone, and the university's coat of arms. It is also engraved with the university's Latin motto, Initium Sapientiae Timor Domini.
Coat of arms[edit]
The university's coat of arms incorporates those of the founders and locations of the two colleges it is derived from. In the top left quadrant are the arms of the burgh of Old Aberdeen, with the addition of a symbol of knowledge being handed down from above. Top right are those of George Keith, the fifth Earl Marischal. Bottom left are those of Bishop William Elphinstone.[53] The bottom right quarter is a simplified version of the three castles which represent the city of Aberdeen[54] (this symbol of the city also appears prominently on the arms of The Robert Gordon University).
^ ""New Rector carried aloft to begin new role"". The University of Aberdeen.
^ ""The Varsity Spirit: Student Show in the '20s and '30s"". The University of Aberdeen.
^ Rait, Robert (1912). Life in the Medieval University. Forgotten Books. p. 123.
^ ""Marischal College Guide"" (PDF). The University of Aberdeen.
^ Broun, Macolm (1995). ""George Wishart: a Torch of the Reformation in Scotland"". Journal of the Sydney Society for Scottish History. 3.
^ ""This Noble College: Building on the European tradition"". University of Aberdeen. Archived from the original on 8 May 2013. Retrieved 20 November 2010.
^ a b ""The New Statistical Account of Scotland – Account of the University and King's College of Aberdeen"". Electricscotland.com. Retrieved 20 November 2010.
^ ""Founders' Day Service"". Public Relations, University of Aberdeen, pubrel@abdn.ac.uk. 9 November 2004. Retrieved 20 November 2010.",,"It combines elements from the arms of the founding colleges, reflecting their merger and the university's heritage"
Discuss the impact of the Scottish Reformation on King's College.,"^ Lorimer, Peter (1923). The Scottish Reformation: A Historical Sketch. p. 91.
^ ""Thomas Reid"". Stanford Encyclopedia of Philosophy. Retrieved 1 January 2022.
^ Robertson, Kirsten (23 November 2018). ""Alistair Darling offers wise words to Aberdeen University graduates"". Aberdeen press and Journal. Retrieved 1 January 2022.
^ Hebdich, Jon (15 May 2018). ""Memories of Dame Tessa Jowell's education in Aberdeen flood in"". Aberdeen Press and Journal. Retrieved 1 January 2022.
^ Wood, Paul (2006). ""Aberdeen Philosophical Society"". Oxford Dictionary of National Biography (online ed.). Oxford University Press. doi:10.1093/ref:odnb/95092 – via Oxford DNB. (Subscription or UK public library membership required.)
^ ""Aberdeen Philosophical Society"". The Doric Columns.
^ Historic Environment Scotland. ""Alford Plaxe, The College (former Christ's College) (LB20086)"".
Men count for the stability of the time’In the 20th century, the university expanded greatly, particularly at King's College. New buildings were constructed on the land around King's College throughout the 20th century. Initially, these were built to match the ancient buildings (e.g. the New King's lecture rooms and Elphinstone Hall), but later ones from the 1960s onward were constructed in brutalist style. Meanwhile, the Foresterhill campus began to train medical students in the 1930s next to Aberdeen Royal Infirmary.Façade of the Sir Duncan Rice Library in Old Aberdeen
^ ""This Noble College: Building on the European tradition"". University of Aberdeen. Archived from the original on 8 May 2013. Retrieved 20 November 2010.
^ a b ""The New Statistical Account of Scotland – Account of the University and King's College of Aberdeen"". Electricscotland.com. Retrieved 20 November 2010.
^ ""Founders' Day Service"". Public Relations, University of Aberdeen, pubrel@abdn.ac.uk. 9 November 2004. Retrieved 20 November 2010.",,It led to a shift from Catholic to Protestant teaching and changes in governance structures
Explain the role of Marischal College during the Scottish Enlightenment.,"^ ""New Rector carried aloft to begin new role"". The University of Aberdeen.
^ ""The Varsity Spirit: Student Show in the '20s and '30s"". The University of Aberdeen.
^ Rait, Robert (1912). Life in the Medieval University. Forgotten Books. p. 123.
^ ""Marischal College Guide"" (PDF). The University of Aberdeen.
^ Broun, Macolm (1995). ""George Wishart: a Torch of the Reformation in Scotland"". Journal of the Sydney Society for Scottish History. 3.
^ Lorimer, Peter (1923). The Scottish Reformation: A Historical Sketch. p. 91.
^ ""Thomas Reid"". Stanford Encyclopedia of Philosophy. Retrieved 1 January 2022.
^ Robertson, Kirsten (23 November 2018). ""Alistair Darling offers wise words to Aberdeen University graduates"". Aberdeen press and Journal. Retrieved 1 January 2022.
^ Hebdich, Jon (15 May 2018). ""Memories of Dame Tessa Jowell's education in Aberdeen flood in"". Aberdeen Press and Journal. Retrieved 1 January 2022.
^ ""John Arbuthnot"". MacTutor (History of Mathematics Archive). School of Mathematics and Statistics University of St Andrews. Retrieved 2 January 2022.
^ ""MS 2164 - Sir James Mackintosh, M.P.: correspondence and biographical notes"". Museums and Special Collections, University of Aberdeen. Retrieved 2 January 2022.
^ ""James Burnett, Lord Monboddo (1714-1799)"". The University of Edinburgh. Alumni Services. Retrieved 3 January 2022.
The Great Gate at Marischal CollegeMarischal College is a neo-Gothic building, having been rebuilt in 1836–41, and greatly extended several years later. Formerly an open three-sided court, the college now forms a quadrangle as additions to the buildings were opened by Edward VII in 1906 and form the current facade from Broad Street. The building is widely considered to be one of the best examples of neo-Gothic architecture in Great Britain; the architect, Alexander Marshall Mackenzie was a native of Aberdeen as well as an alumnus of the university. The Mitchell Tower at the rear is named for the benefactor (Dr Charles Mitchell) who paid for the graduation hall. The opening of this tower in 1895 was part of celebrations of the 400th anniversary of the university.",,"Marischal College played a critical role in promoting enlightenment thought, particularly in philosophy, science, and medicine"
Outline the development of the University of Aberdeen's campus and buildings from its establishment to the 21st century.,"^ ""New Rector carried aloft to begin new role"". The University of Aberdeen.
^ ""The Varsity Spirit: Student Show in the '20s and '30s"". The University of Aberdeen.
^ Rait, Robert (1912). Life in the Medieval University. Forgotten Books. p. 123.
^ ""Marischal College Guide"" (PDF). The University of Aberdeen.
^ Broun, Macolm (1995). ""George Wishart: a Torch of the Reformation in Scotland"". Journal of the Sydney Society for Scottish History. 3.
^ ""The Quatercentenary celebrations, 1906"". University of Aberdeen.
^ Ray, Martin. ""Thomas Hardy in Aberdeen"".
^ ""The Sir Duncan Rice Library"". University of Aberdeen. Retrieved 12 July 2014.
^ a b ""Queen opens new library at Aberdeen University"". BBC News. 24 September 2012. Retrieved 20 December 2012.
^ Grove, Jack (18 February 2020). ""Aberdeen told to repay £119K over ex-head's 'gardening leave'"". Times Higher Education (THE). Retrieved 24 February 2020.
^ McLaren, C.A. Aberdeen Students 1600–1860 (AUP)
^ Hargreaves, J.D. and Forbes, Angela Aberdeen University 1945–1981: Regional Roles and National Needs (AUP)
^ Bulloch, James (1895). A history of the University of Aberdeen. London : Hodder and Stoughton. p. 202.
^ 
""125th anniversary of Aberdeen Torcher Parade"". University of Aberdeen. Retrieved 4 November 2015.
^ ""Giving to Aberdeen"". University of Aberdeen. Retrieved 3 September 2011.
Men count for the stability of the time’In the 20th century, the university expanded greatly, particularly at King's College. New buildings were constructed on the land around King's College throughout the 20th century. Initially, these were built to match the ancient buildings (e.g. the New King's lecture rooms and Elphinstone Hall), but later ones from the 1960s onward were constructed in brutalist style. Meanwhile, the Foresterhill campus began to train medical students in the 1930s next to Aberdeen Royal Infirmary.Façade of the Sir Duncan Rice Library in Old Aberdeen",,"It evolved from medieval buildings to modern facilities, expanding significantly in the 20th century"
